Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,d,0.550453552045,,,,,2018_Aug_07_1005,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,0,0,0,0,,,s,0.131726715947,f,0.405962270917,2018_Aug_07_1005,None,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,0,1,1,7,,,,,a,0.400546577759,2018_Aug_07_1005,None,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,0,2,2,3,,,,,f,0.254865584662,2018_Aug_07_1005,None,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,0,3,3,4,,,,,a,0.226650776574,2018_Aug_07_1005,None,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,0,4,4,8,,,,,f,0.316979790339,2018_Aug_07_1005,None,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,0,5,5,5,,,,,a,0.35847478779,2018_Aug_07_1005,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,0,6,6,6,,,,,f,0.498358706711,2018_Aug_07_1005,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,0,7,7,1,,,,,a,0.522317565279,2018_Aug_07_1005,None,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,0,8,8,2,,,,,f,2.69012276456,2018_Aug_07_1005,None,Arrows_VVA_Direction,1001,Whi,
