Stimulus,direction,number,format,Stimulus_Practice,Direction,Number,Background,Format,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,d,1.01494928995,,,,,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
,,,,,,,,,,,,,,,,,,,,,,,d,0.517916746989,,,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
right_schema_1_WHI.jpg,right,1,schema,,,,,,0,0,0,0,,,,,,,,,,,,,d,0.385252229386,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
right_schema_2_WHI.jpg,right,2,schema,,,,,,0,1,1,1,,,,,,,,,,,,,d,0.501054897509,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
ahead_schema_1_WHI.jpg,ahead,1,schema,,,,,,0,2,2,2,,,,,,,,,,,,,d,0.351757894775,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
ahead_schema_2_WHI.jpg,ahead,2,schema,,,,,,0,3,3,3,,,,,,,,,,,,,d,0.334375736286,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
left_schema_1_WHI.jpg,left,1,schema,,,,,,0,4,4,4,,,,,,,,,,,,,d,0.300974218376,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
left_schema_2_WHI.jpg,left,2,schema,,,,,,0,5,5,5,,,,,,,,,,,,,d,0.218267397777,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
right_word_1_WHI.jpg,right,1,word,,,,,,0,6,6,6,,,,,,,,,,,,,d,0.184499521637,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
right_word_2_WHI.jpg,right,2,word,,,,,,0,7,7,7,,,,,,,,,,,,,d,0.151434910504,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
ahead_word_1_WHI.jpg,ahead,1,word,,,,,,0,8,8,8,,,,,,,,,,,,,d,0.117656770978,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
ahead_word_2_WHI.jpg,ahead,2,word,,,,,,0,9,9,9,,,,,,,,,,,,,d,0.118321659848,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
left_word_1_WHI.jpg,left,1,word,,,,,,0,10,10,10,,,,,,,,,,,,,d,0.101935942196,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
left_word_2_WHI.jpg,left,2,word,,,,,,0,11,11,11,,,,,,,,,,,,,d,0.0849687814589,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
right_image_1_WHI.jpg,right,1,image,,,,,,0,12,12,12,,,,,,,,,,,,,d,0.0574887905987,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
right_image_2_WHI.jpg,right,2,image,,,,,,0,13,13,13,,,,,,,,,,,,,d,0.0680051905947,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
ahead_image_1_WHI.jpg,ahead,1,image,,,,,,0,14,14,14,,,,,,,,,,,,,d,0.217910410464,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
ahead_image_2_WHI.jpg,ahead,2,image,,,,,,0,15,15,15,,,,,,,,,,,,,d,0.0681377221354,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
left_image_1_WHI.jpg,left,1,image,,,,,,0,16,16,16,,,,,,,,,,,,,d,0.0686807890852,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
left_image_2_WHI.jpg,left,2,image,,,,,,0,17,17,17,,,,,,,,,,,,,d,0.0848001049544,,,,,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
,,,,right_schema_3_WHI.jpg,right,3,_WHI,schema,,,,,0,0,0,0,0,0,0,0,,,,,,,d,0.134854188533,f,0.786009756463,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
,,,,right_schema_2_WHI.jpg,right,2,_WHI,schema,,,,,0,0,0,0,0,1,1,1,,,,,,,,,f,0.317097550354,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
,,,,left_schema_3_WHI.jpg,left,3,_WHI,schema,,,,,0,0,0,0,0,2,2,2,,,,,,,,,f,0.534664806763,2018_Nov_08_1219,59.8791182365,Arrows_VVA_Direction,1003,Whi,
