Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,d,0.435930446722,,,,,,,,,2018_Aug_07_1004,31.9703800443,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,0,0,0,3,,,,,,,s,0.281781891128,f,0.281017897418,,,,,2018_Aug_07_1004,31.9703800443,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,0,1,1,4,,,,,,,,,a,0.339253429091,,,,,2018_Aug_07_1004,31.9703800443,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,0,2,2,0,,,,,,,,,f,0.33710718574,,,,,2018_Aug_07_1004,31.9703800443,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,0,3,3,6,,,,,,,,,a,0.186967852293,,,,,2018_Aug_07_1004,31.9703800443,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,0,4,4,5,,,,,,,,,f,0.230848431354,,,,,2018_Aug_07_1004,31.9703800443,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,0,5,5,2,,,,,,,,,a,0.534279136453,,,,,2018_Aug_07_1004,31.9703800443,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,0,6,6,1,,,,,,,,,f,0.231204359327,,,,,2018_Aug_07_1004,31.9703800443,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,0,7,7,8,,,,,,,,,a,0.325680943672,,,,,2018_Aug_07_1004,31.9703800443,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,,,,,0,0,0,4,,,,,,,d,3.54041161248,f,0.299683400197,2018_Aug_07_1004,31.9703800443,Arrows_VVA_Direction,1001,Whi,
