Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,s,0.529727195622,,,,,2018_Aug_07_0901,None,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,0,0,0,1,,,d,0.405384246493,f,2.63506923988,2018_Aug_07_0901,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,0,1,1,4,,,,,a,0.883152892347,2018_Aug_07_0901,None,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,0,2,2,5,,,,,f,0.419792978559,2018_Aug_07_0901,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,0,3,3,7,,,,,a,0.726543628611,2018_Aug_07_0901,None,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,0,4,4,3,,,,,f,0.245304374257,2018_Aug_07_0901,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,0,5,5,8,,,,,a,0.483694215305,2018_Aug_07_0901,None,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,0,6,6,6,,,,,f,0.596316573443,2018_Aug_07_0901,None,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,0,7,7,0,,,,,a,0.428286404349,2018_Aug_07_0901,None,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,0,8,8,2,,,,,f,0.255718252622,2018_Aug_07_0901,None,Arrows_VVA_Direction,1001,Whi,
