Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,d,0.44704879215,,,,,2018_Aug_07_1004,None,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,0,0,0,5,,,s,0.610473240959,f,0.442921748385,2018_Aug_07_1004,None,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,0,1,1,6,,,,,a,0.252106011612,2018_Aug_07_1004,None,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,0,2,2,3,,,,,f,0.146600987529,2018_Aug_07_1004,None,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,0,3,3,0,,,,,a,0.305783034069,2018_Aug_07_1004,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,0,4,4,4,,,,,f,0.169839778915,2018_Aug_07_1004,None,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,0,5,5,2,,,,,a,0.294105137931,2018_Aug_07_1004,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,0,6,6,7,,,,,f,0.114366694121,2018_Aug_07_1004,None,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,0,7,7,1,,,,,a,0.623435270274,2018_Aug_07_1004,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,0,8,8,8,,,,,f,1.12550885021,2018_Aug_07_1004,None,Arrows_VVA_Direction,1001,Whi,
