Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,repeat_spatial_practice.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,d,2.96387704003,,,,,2018_Aug_09_1050,59.8118067195,Arrows_VVA_Direction,1002,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,None,0,0,0,6,,,d,0.301135184655,f,0.284785473349,2018_Aug_09_1050,59.8118067195,Arrows_VVA_Direction,1002,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,None,0,1,1,2,,,,,a,0.285855551891,2018_Aug_09_1050,59.8118067195,Arrows_VVA_Direction,1002,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,None,0,2,2,5,,,,,f,0.217259858176,2018_Aug_09_1050,59.8118067195,Arrows_VVA_Direction,1002,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,None,0,3,3,4,,,,,a,0.201308637336,2018_Aug_09_1050,59.8118067195,Arrows_VVA_Direction,1002,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,None,0,4,4,7,,,,,f,0.201493379837,2018_Aug_09_1050,59.8118067195,Arrows_VVA_Direction,1002,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,None,0,5,5,1,,,,,a,0.25151352748,2018_Aug_09_1050,59.8118067195,Arrows_VVA_Direction,1002,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,None,0,6,6,0,,,,,f,0.250875853486,2018_Aug_09_1050,59.8118067195,Arrows_VVA_Direction,1002,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,None,0,7,7,3,,,,,a,0.284669897727,2018_Aug_09_1050,59.8118067195,Arrows_VVA_Direction,1002,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,None,0,8,8,8,,,,,a,0.850618284956,2018_Aug_09_1050,59.8118067195,Arrows_VVA_Direction,1002,Whi,
