Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,repeat_spatial_practice.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,d,0.732393794258,,,,,2018_Aug_09_0938,59.964491563,Arrows_VVA_Direction,1005,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,None,0,0,0,7,,,d,0.401262050097,f,0.651147701629,2018_Aug_09_0938,59.964491563,Arrows_VVA_Direction,1005,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,None,0,1,1,4,,,,,f,0.350788970962,2018_Aug_09_0938,59.964491563,Arrows_VVA_Direction,1005,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,None,0,2,2,6,,,,,f,0.783868677534,2018_Aug_09_0938,59.964491563,Arrows_VVA_Direction,1005,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,None,0,3,3,0,,,,,f,0.267336231797,2018_Aug_09_0938,59.964491563,Arrows_VVA_Direction,1005,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,None,0,4,4,8,,,,,f,0.483053891708,2018_Aug_09_0938,59.964491563,Arrows_VVA_Direction,1005,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,None,0,5,5,1,,,,,f,0.584019238209,2018_Aug_09_0938,59.964491563,Arrows_VVA_Direction,1005,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,None,0,6,6,5,,,,,f,0.566624437684,2018_Aug_09_0938,59.964491563,Arrows_VVA_Direction,1005,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,None,0,7,7,2,,,,,f,0.517582443572,2018_Aug_09_0938,59.964491563,Arrows_VVA_Direction,1005,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,None,0,8,8,3,,,,,f,2.03264498159,2018_Aug_09_0938,59.964491563,Arrows_VVA_Direction,1005,Whi,
